transaction_id,date,customer_name,customer_email,customer_address,customer_phone,product_category,product_sku,product_name,unit_price,quantity,total_line_value,supplier_name,supplier_email
TXN-2001,2024-02-21,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Accessories,MSE-LOG-502,Mouse Logitech M502,150000,3,450000,TechWorld SAS,ventas@techworld.com
TXN-2001,2024-02-21,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Home,CLK-WAL-05,Reloj de Pared,80000,1,80000,TechWorld SAS,ventas@techworld.com
TXN-2001,2024-02-21,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Electronics,TBL-SAM-10,"Tablet Samsung 10""",1200000,3,3600000,TechWorld SAS,ventas@techworld.com
TXN-2002,2024-02-24,Natalia Vega,natalia.vega@mail.com,Cra 7 #45-12 Medellin,3089990011,Electronics,LPT-DEL-001,Laptop Dell Inspiron,3200000,1,3200000,TechWorld SAS,ventas@techworld.com
TXN-2002,2024-02-24,Natalia Vega,natalia.vega@mail.com,Cra 7 #45-12 Medellin,3089990011,Home,CLK-WAL-05,Reloj de Pared,80000,3,240000,TechWorld SAS,ventas@techworld.com
TXN-2002,2024-02-24,Natalia Vega,natalia.vega@mail.com,Cra 7 #45-12 Medellin,3089990011,Electronics,MON-LG-27,Monitor LG 27 pulgadas,850000,3,2550000,TechWorld SAS,ventas@techworld.com
TXN-2002,2024-02-24,Natalia Vega,natalia.vega@mail.com,Cra 7 #45-12 Medellin,3089990011,Accessories,MSE-LOG-502,Mouse Logitech M502,150000,1,150000,TechWorld SAS,ventas@techworld.com
TXN-2003,2024-02-18,Daniel Torres,daniel.torres@gmail.com,Calle 8 #14-77 Barranquilla,3034445566,Accessories,MSE-LOG-502,Mouse Logitech M502,150000,1,150000,Global Supplies Co,sales@globalsupplies.com
TXN-2003,2024-02-18,Daniel Torres,daniel.torres@gmail.com,Calle 8 #14-77 Barranquilla,3034445566,Home,DSK-MDF-02,Escritorio MDF,750000,1,750000,Global Supplies Co,sales@globalsupplies.com
TXN-2003,2024-02-18,Daniel Torres,daniel.torres@gmail.com,Calle 8 #14-77 Barranquilla,3034445566,Electronics,PRN-HP-110,Impresora HP 110,600000,3,1800000,Global Supplies Co,sales@globalsupplies.com
TXN-2003,2024-02-18,Daniel Torres,daniel.torres@gmail.com,Calle 8 #14-77 Barranquilla,3034445566,Accessories,KEY-RED-001,Teclado Redragon,180000,2,360000,Global Supplies Co,sales@globalsupplies.com
TXN-2004,2024-02-11,Valentina Cruz,valen.cruz@mail.com,Cra 12 #45-67 Cartagena,3045556677,Electronics,PHN-XIA-12,Smartphone Xiaomi 12,1800000,1,1800000,HogarPro Ltda,contacto@hogarpro.com
TXN-2004,2024-02-11,Valentina Cruz,valen.cruz@mail.com,Cra 12 #45-67 Cartagena,3045556677,Accessories,HDP-SNY-01,Audifonos Sony WH,450000,1,450000,HogarPro Ltda,contacto@hogarpro.com
TXN-2005,2024-02-13,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Electronics,PRN-HP-110,Impresora HP 110,600000,1,600000,AccesNet SAS,info@accesnet.com
TXN-2005,2024-02-13,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Accessories,KEY-RED-001,Teclado Redragon,180000,3,540000,AccesNet SAS,info@accesnet.com
TXN-2005,2024-02-13,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Electronics,PHN-XIA-12,Smartphone Xiaomi 12,1800000,2,3600000,AccesNet SAS,info@accesnet.com
TXN-2006,2024-02-18,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Home,LMP-LED-09,Lampara LED,120000,2,240000,Distribuciones Andinas,ventas@andinas.com
TXN-2007,2024-02-27,Felipe Gomez,felipe.gomez@mail.com,Av 68 #23-45 Cali,3090001122,Home,SHF-MTL-03,Estanteria Metalica,420000,1,420000,AccesNet SAS,info@accesnet.com
TXN-2007,2024-02-27,Felipe Gomez,felipe.gomez@mail.com,Av 68 #23-45 Cali,3090001122,Electronics,MON-LG-27,Monitor LG 27 pulgadas,850000,3,2550000,AccesNet SAS,info@accesnet.com
TXN-2008,2024-02-08,Valentina Cruz,valen.cruz@mail.com,Cra 12 #45-67 Cartagena,3045556677,Accessories,WBC-ANK-01,Webcam Anker HD,250000,2,500000,TechWorld SAS,ventas@techworld.com
TXN-2008,2024-02-08,Valentina Cruz,valen.cruz@mail.com,Cra 12 #45-67 Cartagena,3045556677,Electronics,MON-LG-27,Monitor LG 27 pulgadas,850000,2,1700000,TechWorld SAS,ventas@techworld.com
TXN-2009,2024-02-15,Miguel Herrera,miguel.h@gmail.com,Calle 50 #10-11 Bucaramanga,3056667788,Accessories,HDP-SNY-01,Audifonos Sony WH,450000,2,900000,HogarPro Ltda,contacto@hogarpro.com
TXN-2009,2024-02-15,Miguel Herrera,miguel.h@gmail.com,Calle 50 #10-11 Bucaramanga,3056667788,Accessories,MSE-LOG-502,Mouse Logitech M502,150000,3,450000,HogarPro Ltda,contacto@hogarpro.com
TXN-2009,2024-02-15,Miguel Herrera,miguel.h@gmail.com,Calle 50 #10-11 Bucaramanga,3056667788,Accessories,USB-SNY-128,USB Sony 128GB,90000,3,270000,HogarPro Ltda,contacto@hogarpro.com
TXN-2010,2024-02-21,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Home,LMP-LED-09,Lampara LED,120000,1,120000,Global Supplies Co,sales@globalsupplies.com
TXN-2010,2024-02-21,Andres Lopez,andres.lopez@gmail.com,Cra 45 #12-90 Medellin,3012223344,Home,SHF-MTL-03,Estanteria Metalica,420000,1,420000,Global Supplies Co,sales@globalsupplies.com
